id,tokens,pos_tags,chunk_tags,ner_tags
10,"['He' 'was' 'well' 'backed' 'by' 'England' 'hopeful' 'Mark' 'Butcher'
 'who' 'made' '70' 'as' 'Surrey' 'closed' 'on' '429' 'for' 'seven' ',' 'a'
 'lead' 'of' '234' '.']","[28 38 30 40 15 22 16 22 22 44 38 11 15 22 38 15 11 15 11  6 12 21 15 11
  7]","[11 21 22 22 13 11  1 11 12 11 21 11 17 11 21 13 11 13 11  0 11 12 13 11
  0]",[0 0 0 0 0 5 0 1 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0]
11,"['Derbyshire' 'kept' 'up' 'the' 'hunt' 'for' 'their' 'first'
 'championship' 'title' 'since' '1936' 'by' 'reducing' 'Worcestershire'
 'to' '133' 'for' 'five' 'in' 'their' 'second' 'innings' ',' 'still' '100'
 'runs' 'away' 'from' 'avoiding' 'an' 'innings' 'defeat' '.']","[21 38 33 12 21 15 29 16 21 21 15 11 15 39 22 35 11 15 11 15 29 16 21  6
 30 11 42 33 15 39 12 21 37  7]","[11 21 15 11 12 13 11 12 12 12 13 11 17 21 11 13 11 13 11 13 11 12 12  0
  3 11 21 15 13 21 11 12 21  0]",[3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
12,"['Australian' 'Tom' 'Moody' 'took' 'six' 'for' '82' 'but' 'Chris' 'Adams'
 ',' '123' ',' 'and' 'Tim' ""O'Gorman"" ',' '109' ',' 'took' 'Derbyshire'
 'to' '471' 'and' 'a' 'first' 'innings' 'lead' 'of' '233' '.']","[22 22 22 38 11 15 11 10 22 22  6 11  6 10 22 22  6 11  6 38 22 35 11 10
 12 16 21 21 15 11  7]","[11 12 12 21 11 13 11  0 11 12  0 11  0  0 11 12  0 11  0 21 11 13 11  0
 11 12 12 12 13 11  0]",[7 1 2 0 0 0 0 0 1 2 0 0 0 0 1 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0]
13,"['After' 'the' 'frustration' 'of' 'seeing' 'the' 'opening' 'day' 'of'
 'their' 'match' 'badly' 'affected' 'by' 'the' 'weather' ',' 'Kent'
 'stepped' 'up' 'a' 'gear' 'to' 'dismiss' 'Nottinghamshire' 'for' '214'
 '.']","[15 12 21 15 39 12 39 21 15 29 21 30 40 15 12 21  6 22 38 33 12 21 35 37
 22 15 11  7]","[13 11 12 13 21 11 12 12 13 11 12  3 21 13 11 12  0 11 21 15 11 12 21 22
 11 13 11  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0]
14,"['They' 'were' 'held' 'up' 'by' 'a' 'gritty' '84' 'from' 'Paul' 'Johnson'
 'but' 'ex-England' 'fast' 'bowler' 'Martin' 'McCague' 'took' 'four' 'for'
 '55' '.']",[28 38 40 33 15 12 16 11 15 22 22 10 16 16 21 22 22 38 11 15 11  7],[11 21 22 15 13 11 12 12 13 11 12  0 11 12 12 12 12 21 11 13 11  0],[0 0 0 0 0 0 0 0 0 1 2 0 7 0 0 1 2 0 0 0 0 0]
15,['By' 'stumps' 'Kent' 'had' 'reached' '108' 'for' 'three' '.'],[15 24 22 38 40 11 15 11  7],[13 11 11 21 22 11 13 11  0],[0 0 3 0 0 0 0 0 0]
16,['CRICKET' '-' 'ENGLISH' 'COUNTY' 'CHAMPIONSHIP' 'SCORES' '.'],[22  8 16 24 43 22  7],[11  0 11 12 11 12  0],[0 0 7 8 8 0 0]
17,['LONDON' '1996-08-30'],[22 11],[11 12],[5 0]
18,"['Result' 'and' 'close' 'of' 'play' 'scores' 'in' 'English' 'county'
 'championship' 'matches' 'on' 'Friday' ':']",[21 10 37 15 21 24 15 16 21 21 24 15 22  8],[11  0 21 13 11 12 13 11 12 12 12 13 11  0],[0 0 0 0 0 0 0 7 0 0 0 0 0 0]
19,"['Leicester' ':' 'Leicestershire' 'beat' 'Somerset' 'by' 'an' 'innings'
 'and' '39' 'runs' '.']",[16  8 37 37 22 15 12 21 10 11 24  7],[11  0 21 22 11 13 11 12  0 11 12  0],[5 0 3 0 3 0 0 0 0 0 0 0]
20,"['Somerset' '83' 'and' '174' '(' 'P.' 'Simmons' '4-38' ')' ','
 'Leicestershire' '296' '.']",[22 11 10 11  4 22 22 11  5  6 22 11  7],[11 12 12 12  0 11 12 12  0  0 11 12  0],[3 0 0 0 0 1 2 0 0 0 3 0 0]
21,"['Leicestershire' '22' 'points' ',' 'Somerset' '4' '.']",[22 11 24  6 22 11  7],[11 12 12  0 11 12  0],[3 0 0 0 3 0 0]
22,"['Chester-le-Street' ':' 'Glamorgan' '259' 'and' '207' '(' 'A.' 'Dale'
 '69' ',' 'H.' 'Morris' '69' ';' 'D.' 'Blenkiron' '4-43' ')' ',' 'Durham'
 '114' '(' 'S.' 'Watkin' '4-28' ')' 'and' '81-3' '.']","[21  8 22 11 10 11  4 22 22 11  6 22 22 11  8 22 22 11  5  6 22 11  4 22
 22 11  5 10 11  7]","[11  0 11 12 12 12  0 11 12 12  0 11 12 12  0 11 11 12  0  0 11 12  0 11
 12 12  0  0 11  0]",[5 0 3 0 0 0 0 1 2 0 0 1 2 0 0 1 2 0 0 0 3 0 0 1 2 0 0 0 0 0]
23,"['Tunbridge' 'Wells' ':' 'Nottinghamshire' '214' '(' 'P.' 'Johnson' '84'
 ';' 'M.' 'McCague' '4-55' ')' ',' 'Kent' '108-3' '.']",[22 22  8 22 11  4 22 22 11  8 22 22 11  5  6 22 22  7],[11 12  0 11 12  0 11 12 12  0 11 12 12  0  0 11 12  0],[5 6 0 3 0 0 1 2 0 0 1 2 0 0 0 3 0 0]
24,"['London' '(' 'The' 'Oval' ')' ':' 'Warwickshire' '195' ',' 'Surrey'
 '429-7' '(' 'C.' 'Lewis' '80' 'not' 'out' ',' 'M.' 'Butcher' '70' ','
 'G.' 'Kersey' '63' ',' 'J.' 'Ratcliffe' '63' ',' 'D.' 'Bicknell' '55' ')'
 '.']","[22  4 12 16  5  8 37 11  6 22 22  4 22 22 11 30 33  6 22 22 11  6 22 22
 11  6 22 22 11  6 22 22 11  5  7]","[11 12 12 12  0  0 21 11  0 11 12  0 11 12 12 21 15  0 11 12 12  0 11 12
 12  0 11 12 12  0 11 12 12  0  0]",[5 0 5 6 0 0 3 0 0 3 0 0 1 2 0 0 0 0 1 2 0 0 1 2 0 0 1 2 0 0 1 2 0 0 0]
25,"['Hove' ':' 'Sussex' '363' '(' 'W.' 'Athey' '111' ',' 'V.' 'Drakes' '52'
 ';' 'I.' 'Austin' '4-37' ')' ',' 'Lancashire' '197-8' '(' 'W.' 'Hegg'
 '54' ')']","[21  8 22 11  4 22 22 11  6 22 22 11  8 22 22 11  5  6 22 22  4 22 22 11
  5]","[11  0 11 12  0 11 12 12  0 11 12 12  0 11 12 12  0  0 11 12  0 11 12 12
  0]",[5 0 3 0 0 1 2 0 0 1 2 0 0 1 2 0 0 0 3 0 0 1 2 0 0]
26,"['Portsmouth' ':' 'Middlesex' '199' 'and' '426' '(' 'J.' 'Pooley' '111'
 ',' 'M.' 'Ramprakash' '108' ',' 'M.' 'Gatting' '83' ')' ',' 'Hampshire'
 '232' 'and' '109-5' '.']","[22  8 22 11 10 11  4 22 22 11  6 22 22 11  6 22 22 11  5  6 22 11 10 22
  7]","[11  0 11 12 12 12  0 11 12 12  0 11 12 12  0 11 12 12  0  0 11 12 12 12
  0]",[5 0 3 0 0 0 0 1 2 0 0 1 2 0 0 1 2 0 0 0 3 0 0 0 0]
27,"['Chesterfield' ':' 'Worcestershire' '238' 'and' '133-5' ',' 'Derbyshire'
 '471' '(' 'J.' 'Adams' '123' ',' ""T.O'Gorman"" '109' 'not' 'out' ',' 'K.'
 'Barnett' '87' ';' 'T.' 'Moody' '6-82' ')']","[22  8 22 11 10 11  6 22 11  4 22 22 11  6 16 11 30 33  6 22 22 11  8 22
 22 11  5]","[11  0 11 12 12 12  0 11 12  0 11 12 12  0 11 12 21 15  0 11 12 12  0 11
 12 12  0]",[5 0 3 0 0 0 0 3 0 0 1 2 0 0 1 0 0 0 0 1 2 0 0 1 2 0 0]
28,"['Bristol' ':' 'Gloucestershire' '183' 'and' '185-6' '(' 'J.' 'Russell'
 '56' 'not' 'out' ')' ',' 'Northamptonshire' '190' '(' 'K.' 'Curran' '52'
 ';' 'A.' 'Smith' '5-68' ')' '.']","[22  8 37 11 10 11  4 22 22 11 30 33  5  6 22 11  4 22 22 11  8 22 22 11
  5  7]","[11  0 21 11 12 12  0 11 12 12 21 15  0  0 11 12  0 11 12 12  0 11 12 12
  0  0]",[5 0 3 0 0 0 0 1 2 0 0 0 0 0 3 0 0 1 2 0 0 1 2 0 0 0]
29,['CRICKET' '-' '1997' 'ASHES' 'INTINERARY' '.'],[22  8 11 22 22  7],[11  0 11 12 12  0],[0 0 0 7 0 0]
30,['LONDON' '1996-08-30'],[22 11],[11 12],[5 0]
31,['Australia' 'will' 'defend' 'the' 'Ashes' 'in'],[22 20 37 12 22 15],[11 21 22 11 12 13],[5 0 0 0 7 0]
32,"['a' 'six-test' 'series' 'against' 'England' 'during' 'a' 'four-month'
 'tour']",[34 16 21 15 22 15 12 16 21],[ 0 11 12 13 11 13 11 12 12],[0 0 0 0 5 0 0 0 0]
33,"['starting' 'on' 'May' '13' 'next' 'year' ',' 'the' 'Test' 'and' 'County'
 'Cricket' 'Board']",[39 15 22 11 16 21  6 12 22 10 22 22 22],[21 13 11 12 11 12  0 11 12 12 12 12 12],[0 0 0 0 0 0 0 0 3 4 4 4 4]
34,['said' 'on' 'Friday' '.'],[38 15 22  7],[21 13 11  0],[0 0 0 0]
35,['Australia' 'will' 'also' 'play' 'three' 'one-day' 'internationals' 'and'],[22 20 30 37 11 16 24 10],[11 21 22 22 11 12 12  0],[5 0 0 0 0 0 0 0]
36,"['four' 'one-day' 'warm-up' 'matches' 'at' 'the' 'start' 'of' 'the' 'tour'
 '.']",[11 16 21 24 15 12 21 15 12 21  7],[11 12 12 12 13 11 12 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0]
37,['The' 'tourists' 'will' 'play' 'nine' 'first-class' 'matches' 'against'],[12 24 20 37 11 16 24 15],[11 12 21 22 11 12 12 13],[0 0 0 0 0 0 0 0]
38,"['English' 'county' 'sides' 'and' 'another' 'against' 'British'
 'Universities' ',']",[16 21 24 10 12 15 16 24  6],[11 12 12  0 11 13 11 12  0],[7 0 0 0 0 0 3 4 0]
39,"['as' 'well' 'as' 'one-day' 'matches' 'against' 'the' 'Minor' 'Counties'
 'and']",[15 30 15 16 24 15 12 22 22 10],[13 11 12 12 12 13 11 12 12  0],[0 0 0 0 0 0 0 3 4 0]
40,['Scotland' '.'],[22  7],[11  0],[5 0]
41,['Tour' 'itinerary' ':'],[22 21  8],[11 12  0],[0 0 0]
42,['May'],[22],[11],[0]
43,['May' '13' 'Arrive' 'in' 'London'],[22 11 22 15 22],[11 12 12 13 11],[0 0 0 0 5]
44,"['May' '14' 'Practice' 'at' 'Lord' ""'s""]",[22 11 22 15 22 27],[11 12 12 13 11 12],[0 0 0 0 5 6]
45,"['May' '15' 'v' 'Duke' 'of' 'Norfolk' ""'s"" 'XI' '(' 'at' 'Arundel' ')']",[22 11 34 22 15 22 27 22  4 15 22  5],[11 12 21 11 13 11 11 12  0 13 11  0],[0 0 0 3 4 4 4 4 0 0 5 0]
46,['May' '17' 'v' 'Northampton'],[22 11 34 22],[11 12 21 11],[0 0 0 3]
47,['May' '18' 'v' 'Worcestershire'],[22 11 34 22],[11 12 21 11],[0 0 0 3]
48,['May' '20' 'v' 'Durham'],[22 11 34 22],[11 12 21 11],[0 0 0 3]
49,"['May' '22' 'First' 'one-day' 'international' '(' 'at' 'Headingley' ',']",[22 11 22 16 21  4 15 22  6],[11 12 12 12 12  0 13 11  0],[0 0 0 0 0 0 0 5 0]
50,['Leeds' ')'],[24  5],[11  0],[3 0]
51,"['May' '24' 'Second' 'one-day' 'international' '(' 'at' 'The' 'Oval' ',']",[22 11 22 16 21  4 15 12 16  6],[11 12 12 12 12  0 13 11 12 12],[0 0 0 0 0 0 0 5 6 0]
52,['London' ')'],[22  5],[11  0],[5 0]
53,"['May' '25' 'Third' 'one-day' 'international' '(' 'at' 'Lord' ""'s"" ','
 'London' ')']",[22 11 22 16 21  4 15 22 27  6 22  5],[11 12 12 12 12  0 13 11 12  0 11  0],[0 0 0 0 0 0 0 5 6 0 5 0]
54,"['May' '27-29' 'v' 'Gloucestershire' 'or' 'Sussex' 'or' 'Surrey' '('
 'three']",[22 11 34 22 10 22 10 22  4 11],[11 12 21 11 12 12 12 12  0 11],[0 0 0 3 0 3 0 3 0 0]
55,['days' ')'],[24  5],[11  0],[0 0]
56,['May' '31' '-' 'June' '2' 'v' 'Derbyshire' '(' 'three' 'days' ')'],[22 11  8 22 11 34 21  4 11 24  5],[11 12 12 12 12 21 11  0 11 12  0],[0 0 0 0 0 0 3 0 0 0 0]
57,['June'],[22],[11],[0]
58,"['June' '5-9' 'First' 'test' 'match' '(' 'at' 'Edgbaston' ',' 'Birmingham'
 ')']",[22 22 22 21 21  4 15 22  6 22  5],[11 12 12 12 12  0 13 11  0 11  0],[0 0 0 0 0 0 0 5 0 5 0]
59,"['June' '11-13' 'v' 'a' 'first' 'class' 'county' '(' 'to' 'be' 'confirmed'
 ')']",[22 11 34 12 16 21 21  4 35 37 40  5],[11 12 21 11 12 12 12  0 21 22 22  0],[0 0 0 0 0 0 0 0 0 0 0 0]
60,['June' '14-16' 'v' 'Leicestershire' '(' 'three' 'days' ')'],[22 11 34 22  4 11 24  5],[11 12 21 11  0 11 12  0],[0 0 0 3 0 0 0 0]
61,"['June' '19-23' 'Second' 'test' '(' 'at' 'Lord' ""'s"" ')']",[22 11 22 21  4 15 22 27  5],[11 12 12 12  0 13 11 12  0],[0 0 0 0 0 0 5 6 0]
62,"['June' '25-27' 'v' 'British' 'Universities' '(' 'at' 'Oxford' ',' 'three'
 'days' ')']",[22 11 34 16 24  4 15 22  6 11 24  5],[11 12 21 11 12  0 13 11  0 11 12  0],[0 0 0 3 4 0 0 5 0 0 0 0]
63,['June' '28-30' 'v' 'Hampshire' '(' 'three' 'days' ')'],[22 11 34 22  4 11 24  5],[11 12 21 11  0 11 12  0],[0 0 0 3 0 0 0 0]
64,['July'],[22],[11],[0]
65,"['July' '3-7' 'Third' 'test' '(' 'at' 'Old' 'Trafford' ',' 'Manchester'
 ')']",[22 11 22 21  4 15 22 22  6 22  5],[11 12 12 12  0 13 11 12  0 11  0],[0 0 0 0 0 0 5 6 0 5 0]
66,['July' '9' 'v' 'Minor' 'Counties' 'XI'],[22 11 34 22 23 22],[11 12 21 11 12 12],[0 0 0 3 4 4]
67,['July' '12' 'v' 'Scotland'],[22 11 34 22],[11 12 21 11],[0 0 0 5]
68,['July' '16-18' 'v' 'Glamorgan' '(' 'three' 'days' ')'],[22 11 34 22  4 11 24  5],[11 12 21 11  0 11 12  0],[0 0 0 3 0 0 0 0]
69,['July' '19-21' 'v' 'Middlesex' '(' 'three' 'days' ')'],[22 11 34 22  4 11 24  5],[11 12 21 11  0 11 12  0],[0 0 0 3 0 0 0 0]
70,['July' '24-28' 'Fourth' 'test' '(' 'at' 'Headingley' ')'],[22 11 22 21  4 15 22  5],[11 12 12 12  0 13 11  0],[0 0 0 0 0 0 5 0]
71,['August'],[22],[11],[0]
72,['August' '1-4' 'v' 'Somerset' '(' 'four' 'days' ')'],[22 11 34 22  4 11 24  5],[11 12 21 11  0 11 12  0],[0 0 0 3 0 0 0 0]
73,"['August' '7-11' 'Fifth' 'test' '(' 'at' 'Trent' 'Bridge' ',' 'Nottingham'
 ')']",[22 11 22 21  4 15 22 22  6 22  5],[11 12 12 12  0 13 11 12  0 11  0],[0 0 0 0 0 0 5 6 0 5 0]
74,['August' '16-18' 'v' 'Kent' '(' 'three' 'days' ')'],[22 11 34 22  4 11 24  5],[11 12 21 11  0 11 12  0],[0 0 0 3 0 0 0 0]
75,"['August' '21-25' 'Sixth' 'test' '(' 'at' 'The' 'Oval' ',' 'London' ')'
 '.']",[22 11 22 21  4 15 12 16  6 22  5  7],[11 12 12 12  0 13 11 12  0 11  0  0],[0 0 0 0 0 0 5 6 0 5 0 0]
76,['SOCCER' '-' 'SHEARER' 'NAMED' 'AS' 'ENGLAND' 'CAPTAIN' '.'],[21  8 21 38 22 22 22  7],[11  0 11 21 11 12 12  0],[0 0 1 0 0 5 0 0]
77,['LONDON' '1996-08-30'],[22 11],[11 12],[5 0]
78,"['The' 'world' ""'s"" 'costliest' 'footballer' 'Alan' 'Shearer' 'was'
 'named' 'as' 'the' 'new' 'England' 'captain' 'on' 'Friday' '.']",[12 21 27 18 21 22 22 38 40 15 12 16 22 21 15 22  7],[11 12 11 12 12 12 12 21 22 13 11 12 12 12 13 11  0],[0 0 0 0 0 1 2 0 0 0 0 0 5 0 0 0 0]
79,"['The' '26-year-old' ',' 'who' 'joined' 'Newcastle' 'for' '15' 'million'
 'pounds' 'sterling' '(' '$' '23.4' 'million' ')' ',' 'takes' 'over'
 'from' 'Tony' 'Adams' ',' 'who' 'led' 'the' 'side' 'during' 'the'
 'European' 'championship' 'in' 'June' ',' 'and' 'former' 'captain'
 'David' 'Platt' '.']","[12 16  6 44 38 22 15 11 11 24 21  4  3 11 11  5  6 42 15 15 22 22  6 44
 38 12 21 15 12 16 21 15 22  6 10 16 21 22 22  7]","[11 12  0 11 21 11 13 11 12 12 12  0 11 12 12  0  0 21 13 13 11 12  0 11
 21 11 12 13 11 12 12 13 11  0  0 11 12 12 12  0]","[0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
 1 2 0]"
80,"['Adams' 'and' 'Platt' 'are' 'both' 'injured' 'and' 'will' 'miss'
 'England' ""'s"" 'opening' 'World' 'Cup' 'qualifier' 'against' 'Moldova'
 'on' 'Sunday' '.']",[22 10 22 41 12 16 10 20 37 22 27 21 22 22 21 15 22 15 22  7],[11 12 12 21 11 12  0 21 22 11 11 12 12 12 12 13 11 13 11  0],[1 0 1 0 0 0 0 0 0 5 0 0 7 8 0 0 5 0 0 0]
81,"['Shearer' 'takes' 'the' 'captaincy' 'on' 'a' 'trial' 'basis' ',' 'but'
 'new' 'coach' 'Glenn' 'Hoddle' 'said' 'he' 'saw' 'no' 'reason' 'why'
 'the' 'former' 'Blackburn' 'and' 'Southampton' 'skipper' 'should' 'not'
 'make' 'the' 'post' 'his' 'own' '.']","[21 42 12 21 15 12 21 21  6 10 16 21 22 22 38 28 38 12 21 46 12 16 22 10
 22 21 20 30 37 12 21 29 16  7]","[11 21 11 12 13 11 12 12  0  0 11 12 12 12 21 11 21 11 12  3 11 12 12 12
 12 12 21 22 22 11 12 11 12  0]",[1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0]
82,"['""' 'I' ""'m"" 'sure' 'there' 'wo' ""n't"" 'be' 'a' 'problem' ',' 'I' ""'m""
 'sure' 'Alan' 'is' 'the' 'man' 'for' 'the' 'job' ',' '""' 'Hoddle' 'said'
 '.']","[ 0 28 41 16 30 20 30 37 12 21  6 28 41 16 22 42 12 21 15 12 21  6  0 22
 38  7]","[ 0 11 21  1  3 21 22 22 11 12  0 11 21  1 11 21 11 12 13 11 12  0  0 11
 21  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0]
83,"['""' 'There' 'were' 'three' 'or' 'four' 'people' 'who' 'could' 'have'
 'done' 'it' 'but' 'when' 'I' 'spoke' 'to' 'Alan' 'he' 'was' 'up' 'for'
 'it' 'and' 'really' 'wanted' 'it' '.']","[ 0 13 38 11 10 11 24 44 20 37 40 28 10 46 28 38 35 22 28 38 15 15 28 10
 30 40 28  7]","[ 0 11 21 11 12 12 12 11 21 22 22 11  0  3 11 21 13 11 11 21 13 13 11  0
 21 22 11  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
84,"['""' 'In' 'four' 'days' 'it' ""'s"" 'very' 'difficult' 'to' 'come' 'to' 'a'
 '100' 'percent' 'conclusion' 'about' 'something' 'like' 'this' '...']",[ 0 15 11 24 28 42 30 16 35 37 35 12 11 21 21 15 21 15 12  8],[ 0 13 11 12 11 21  1  2 21 22 13 11 12 12 12 13 11 13 11 12],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
85,"['but' 'he' 'knows' 'how' 'to' 'conduct' 'himself' ',' 'his' 'team'
 'mates' 'respect' 'him' 'and' 'he' 'knows' 'about' 'the' 'team'
 'situation' 'even' 'though' 'he' 'plays' 'up' 'front' '.' '""']","[10 28 42 46 35 37 28  6 29 21 24 21 28 10 28 42 15 12 21 21 30 15 28 42
 33 21  7  0]","[ 0 11 21  3 21 22 11  0 11 12 12 12 12  0 11 21 13 11 12 12 17 18 11 21
 15 11  0  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
